t,obs,action,reward,seed
20,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
21,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
22,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
23,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
24,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
25,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
26,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
27,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
28,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
29,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
30,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
31,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
32,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
33,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
34,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
35,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
36,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
37,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
38,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
39,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
40,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
41,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
42,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
43,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
44,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
45,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
46,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
47,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
48,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
49,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
50,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
51,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
52,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
53,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
54,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
55,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
56,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
57,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
58,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
59,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
60,1.0779896e-11,2.9594283e-12,3.0365271e-10,3
